0055,元大MSCI金融,市,2023/12/12,,23.77,0.01,0.04,109,2.6,23.76,23.78,23.78,23.73,0.21,,,    ,    ,    ,    ,    
0061,元大寶滬深,市,2023/12/12,,16.24,0.21,1.31,248,4.03,16.03,16.21,16.33,16.2,0.81,,,    ,    ,    ,    ,    
006201,元大富櫃50,櫃,2023/12/12,,19.89,0.12,0.61,26,0.52,19.77,19.93,19.95,19.85,0.51,,,    ,    ,    ,    ,    
006207,復華滬深,市,2023/12/12,,21.45,0.27,1.27,107,2.29,21.18,21.42,21.45,21.42,0.14,,,    ,    ,    ,    ,    
00625K,富邦上証+R,市,2023/12/12,,6.3,0,0,0,0,6.3,6.3,6.3,6.3,0,,,    ,    ,    ,    ,    
00632R,元大台灣50反1,市,2023/12/12,,4.61,-0.01,-0.22,74519,342,4.62,4.59,4.62,4.58,0.87,,,    ,    ,    ,    ,    
00634R,富邦上証反1,市,2023/12/12,,5.01,-0.07,-1.38,583,2.93,5.08,5.02,5.02,5,0.39,,,    ,    ,    ,    ,    
00635U,期元大S&P黃金,市,2023/12/12,,24.15,-0.16,-0.66,363,8.77,24.31,24.14,24.16,24.1,0.25,,,    ,    ,    ,    ,    
00636,國泰中國A50,市,2023/12/12,,18.86,0.23,1.23,1520,28.7,18.63,18.83,18.92,18.77,0.81,,,    ,    ,    ,    ,    
00636K,國泰中國A50+U,市,2023/12/12,,6.01,0.11,1.86,0,0,5.9,6.01,6.01,6.01,0,,,    ,    ,    ,    ,    
00637L,元大滬深300正2,市,2023/12/12,,11.59,0.28,2.48,57403,666,11.31,11.63,11.68,11.5,1.59,,,    ,    ,    ,    ,    
00638R,元大滬深300反1,市,2023/12/12,,10.61,-0.11,-1.03,1390,14.7,10.72,10.58,10.62,10.56,0.56,,,    ,    ,    ,    ,    
00639,富邦深100,市,2023/12/12,,10.3,0.09,0.88,179,1.84,10.21,10.26,10.32,10.26,0.59,,,    ,    ,    ,    ,    
00641R,富邦日本反1,市,2023/12/12,,7.67,0.01,0.13,399,3.05,7.66,7.61,7.67,7.61,0.78,,,    ,    ,    ,    ,    
00642U,期元大S&P石油,市,2023/12/12,,15.81,0.03,0.19,2436,38.4,15.78,15.73,15.82,15.69,0.82,,,    ,    ,    ,    ,    
00643,群益深証中小,市,2023/12/12,,11.9,0.1,0.85,111,1.32,11.8,11.95,11.95,11.86,0.76,,,    ,    ,    ,    ,    
00643K,群益深証中小+R,市,2023/12/12,,2.71,0,0,0,0,2.71,2.71,2.71,2.71,0,,,    ,    ,    ,    ,    
00648R,元大S&P500反1,市,2023/12/12,,6.41,-0.02,-0.31,690,4.42,6.43,6.4,6.41,6.39,0.31,,,    ,    ,    ,    ,    
00650L,復華香港正2,市,2023/12/12,,8.74,0.28,3.31,13093,114,8.46,8.71,8.78,8.58,2.36,,,    ,    ,    ,    ,    
00651R,復華香港反1,市,2023/12/12,,9.86,-0.15,-1.5,422,4.16,10.01,9.9,9.93,9.81,1.2,,,    ,    ,    ,    ,    
00654R,富邦印度反1,市,2023/12/12,,7.1,0,0,32,0.23,7.1,7.08,7.1,7.07,0.42,,,    ,    ,    ,    ,    
00655L,國泰中國A50正2,市,2023/12/12,,20.32,0.52,2.63,2377,48.4,19.8,20.36,20.5,20.13,1.87,,,    ,    ,    ,    ,    
00656R,國泰中國A50反1,市,2023/12/12,,9.46,-0.12,-1.25,447,4.22,9.58,9.42,9.46,9.42,0.42,,,    ,    ,    ,    ,    
00657K,國泰日經225+U,市,2023/12/12,,12.35,0.06,0.49,0,0,12.29,12.35,12.35,12.35,0,,,    ,    ,    ,    ,    
00664R,國泰臺灣加權反1,市,2023/12/12,,5.19,-0.01,-0.19,3539,18.3,5.2,5.16,5.19,5.15,0.77,,,    ,    ,    ,    ,    
00665L,富邦恒生國企正2,市,2023/12/12,,5.48,0.28,5.38,46402,252,5.2,5.38,5.49,5.32,3.27,,,    ,    ,    ,    ,    
00666R,富邦恒生國企反1,市,2023/12/12,,17,-0.38,-2.19,309,5.27,17.38,17.1,17.18,16.93,1.44,,,    ,    ,    ,    ,    
00668K,國泰美國道瓊+U,市,2023/12/12,,13.23,0.05,0.38,0,0,13.18,13.23,13.23,13.23,0,,,    ,    ,    ,    ,    
00669R,國泰美國道瓊反1,市,2023/12/12,,7.51,-0.03,-0.4,1962,14.7,7.54,7.5,7.51,7.49,0.27,,,    ,    ,    ,    ,    
00671R,富邦NASDAQ反1,市,2023/12/12,,4.51,-0.06,-1.31,10199,46,4.57,4.51,4.52,4.5,0.44,,,    ,    ,    ,    ,    
00673R,期元大S&P原油反1,市,2023/12/12,,8.46,-0.01,-0.12,6878,58.4,8.47,8.49,8.52,8.44,0.94,,,    ,    ,    ,    ,    
00674R,期元大S&P黃金反1,市,2023/12/12,,12.27,0.03,0.25,1095,13.5,12.24,12.29,12.31,12.27,0.33,,,    ,    ,    ,    ,    
00676R,富邦臺灣加權反1,市,2023/12/12,,2.87,0,0,5247,15,2.87,2.86,2.88,2.85,1.05,,,    ,    ,    ,    ,    
00680L,元大美債20正2,市,2023/12/12,,9.36,0.09,0.97,48651,452,9.27,9.28,9.36,9.24,1.29,,,    ,    ,    ,    ,    
00681R,元大美債20反1,市,2023/12/12,,19.92,-0.06,-0.3,258,5.15,19.98,19.99,20.01,19.92,0.45,,,    ,    ,    ,    ,    
00682U,期元大美元指數,市,2023/12/12,,20.88,0,0,0,0,20.88,20.88,20.88,20.88,0,,,    ,    ,    ,    ,    
00683L,期元大美元指正2,市,2023/12/12,,22.21,-0.04,-0.18,181,4.03,22.25,22.26,22.26,22.21,0.22,,,    ,    ,    ,    ,    
00684R,期元大美元指反1,市,2023/12/12,,15.72,0.02,0.13,12,0.19,15.7,15.64,15.72,15.64,0.51,,,    ,    ,    ,    ,    
00686R,群益臺灣加權反1,市,2023/12/12,,3.09,-0.01,-0.32,90,0.28,3.1,3.08,3.09,3.08,0.32,,,    ,    ,    ,    ,    
00688L,國泰20年美債正2,市,2023/12/12,,9.15,0.04,0.44,35362,322,9.11,9.08,9.15,9.05,1.1,,,    ,    ,    ,    ,    
00689R,國泰20年美債反1,市,2023/12/12,,20.68,-0.06,-0.29,18,0.37,20.74,20.74,20.74,20.68,0.29,,,    ,    ,    ,    ,    
00700,富邦恒生國企,市,2023/12/12,,11.03,0.21,1.94,182,2.01,10.82,10.91,11.1,10.91,1.76,,,    ,    ,    ,    ,    
00702,國泰標普低波高息,市,2023/12/12,,21.13,-0.04,-0.19,150,3.16,21.17,21.1,21.14,21.1,0.19,,,    ,    ,    ,    ,    
00703,台新MSCI中國,市,2023/12/12,,13.83,0.28,2.07,108,1.49,13.55,13.8,13.86,13.8,0.44,,,    ,    ,    ,    ,    
00706L,期元大S&P日圓正2,市,2023/12/12,,7.58,0,0,23133,175,7.58,7.53,7.59,7.53,0.79,,,    ,    ,    ,    ,    
00710B,復華彭博非投等債,市,2023/12/12,,18.84,0.01,0.05,322,6.06,18.83,18.8,18.87,18.8,0.37,,,    ,    ,    ,    ,    
00711B,復華彭博新興債,市,2023/12/12,,16.03,0.01,0.06,161,2.58,16.02,16,16.03,16,0.19,,,    ,    ,    ,    ,    
00712,復華富時不動產,市,2023/12/12,,9.78,0.05,0.51,13964,136,9.73,9.75,9.78,9.74,0.41,,,    ,    ,    ,    ,    
00714,群益道瓊美國地產,市,2023/12/12,,18.92,0.05,0.26,369,6.98,18.87,18.89,18.92,18.89,0.16,,,    ,    ,    ,    ,    
00715L,期街口布蘭特正2,市,2023/12/12,,13.07,0.04,0.31,17064,221,13.03,13,13.07,12.86,1.61,,,    ,    ,    ,    ,    
00717,富邦美國特別股,市,2023/12/12,,14.84,-0.02,-0.13,142,2.1,14.86,14.82,14.84,14.82,0.13,,,    ,    ,    ,    ,    
