0051,元大中型100,市,12月12日,,71.25,0.4,0.56,75,5.37,70.85,71.4,71.4,70.95,0.64,,,    ,    ,    ,    ,    
0053,元大電子,市,12月12日,,69.35,0.2,0.29,17,1.21,69.15,69.4,69.4,69,0.58,,,    ,    ,    ,    ,    
006203,元大MSCI台灣,市,12月12日,,64,0.2,0.31,4,0.28,63.8,64.2,64.2,63.95,0.39,,,    ,    ,    ,    ,    
006208,富邦台50,市,12月12日,,74.95,0.15,0.2,"2,246",169,74.8,75.2,75.3,74.85,0.6,,,    ,    ,    ,    ,    
00647L,元大S&P500正2,市,12月12日,,66.55,0.6,0.91,93,6.15,65.95,66.45,66.55,66.4,0.23,,,    ,    ,    ,    ,    
00653L,富邦印度正2,市,12月12日,,53.95,0.3,0.56,70,3.79,53.65,54,54.15,53.85,0.56,,,    ,    ,    ,    ,    
00662,富邦NASDAQ,市,12月12日,,65.65,0.8,1.23,"1,098",72.1,64.85,65.55,65.75,65.55,0.31,,,    ,    ,    ,    ,    
00675L,富邦臺灣加權正2,市,12月12日,,58.45,0.3,0.52,"1,049",61.5,58.15,58.85,58.95,58.3,1.12,,,    ,    ,    ,    ,    
00685L,群益臺灣加權正2,市,12月12日,,51.9,0.15,0.29,102,5.3,51.75,52.3,52.35,51.8,1.06,,,    ,    ,    ,    ,    
00713,元大台灣高息低波,市,12月12日,,50.4,0.25,0.5,"4,147",209,50.15,50.3,50.45,50.3,0.3,,,    ,    ,    ,    ,    
00731,復華富時高息低波,市,12月12日,,66.45,0.2,0.3,529,35.1,66.25,66.25,66.55,66.25,0.45,,,    ,    ,    ,    ,    
00733,富邦臺灣中小,市,12月12日,,56.8,-0.05,-0.09,454,25.9,56.85,57,57.15,56.7,0.79,,,    ,    ,    ,    ,    
00757,統一FANG+,市,12月12日,,63.1,0.2,0.32,"2,123",134,62.9,63.1,63.3,63.05,0.4,,,    ,    ,    ,    ,    
00758B,復華能源債,櫃,12月12日,,52.3,0.2,0.38,100,5.23,52.1,52.3,52.3,52.3,0,,,    ,    ,    ,    ,    
00759B,復華製藥債,櫃,12月12日,,56.85,0.25,0.44,100,5.68,56.6,56.85,56.85,56.85,0,,,    ,    ,    ,    ,    
00760B,復華新興企業債,櫃,12月12日,,52.75,0.2,0.38,193,10.2,52.55,52.5,52.75,52.45,0.57,,,    ,    ,    ,    ,    
00768B,復華20年美債,櫃,12月12日,,53.8,0.05,0.09,117,6.31,53.75,53.8,53.8,53.8,0,,,    ,    ,    ,    ,    
