0050,元大台灣50,市,12月12日,,131.5,0.3,0.23,"5,726",754,131.2,131.9,132.05,131.35,0.53,,,    ,    ,    ,    ,    
0052,富邦科技,市,12月12日,,124,0.55,0.45,312,38.6,123.45,123.95,124.35,123.4,0.77,,,    ,    ,    ,    ,    
00631L,元大台灣50正2,市,12月12日,,144.25,0.7,0.49,"1,956",284,143.55,145.35,145.55,143.9,1.15,,,    ,    ,    ,    ,    
00663L,國泰臺灣加權正2,市,12月12日,,133.6,0.85,0.64,13,1.74,132.75,134.65,134.65,133.5,0.87,,,    ,    ,    ,    ,    
1232,大統益,市,12月12日,,142.5,-0.5,-0.35,49,7,143,143,143,142.5,0.35,20.3,4.5,    ,    ,    ,    ,    
1256,鮮活果汁-KY,市,12月12日,,248.5,1.5,0.61,4,1.07,247,248.5,248.5,248.5,0,16.9,2.17,    ,    ,    ,    ,    
1264,德麥,櫃,12月12日,,289,-1,-0.34,15,4.41,290,290,290,289,0.34,16,3.55,    ,    ,    ,    ,    
1268,漢來美食,櫃,12月12日,,151,-1,-0.66,125,18.9,152,152.5,153,150,1.97,17,3.09,    ,    ,    ,    ,    
1342,八貫,市,12月12日,,116.5,-0.5,-0.43,206,24.1,117,117.5,118,116,1.71,15.2,3.93,    ,    ,    ,    ,    
1476,儒鴻,市,12月12日,,570,-10,-1.72,631,360,580,581,581,566,2.59,34.2,6.37,    ,    ,    ,    ,    
1477,聚陽,市,12月12日,,343,-5,-1.44,"2,231",765,348,348.5,350.5,340,3.02,21.5,5.48,    ,    ,    ,    ,    
1503,士電,市,12月12日,,125,-2.5,-1.96,"9,117","1,153",127.5,126.5,130,124,4.71,28.1,2.04,    ,    ,    ,    ,    
1513,中興電,市,12月12日,,125,-1,-0.79,"9,947","1,255",126,126,128,125,2.38,39.4,4.18,    ,    ,    ,    ,    
1519,華城,市,12月12日,,356,17,5.01,"19,690","6,908",339,341,357,340.5,4.87,47.9,18.8,    ,    ,    ,    ,    
1537,廣隆,市,12月12日,,131,-0.5,-0.38,137,18,131.5,131.5,132,131,0.76,18.6,2.6,    ,    ,    ,    ,    
1558,伸興,市,12月12日,,107.5,-0.5,-0.46,36,3.9,108,108,108,107,0.93,32.1,1.32,    ,    ,    ,    ,    
1560,中砂,市,12月12日,,178,2.5,1.42,"2,519",452,175.5,176.5,181,176.5,2.56,28.9,4.35,    ,    ,    ,    ,    
1565,精華,櫃,12月12日,,190,-1,-0.52,72,13.8,191,191,192,190,1.05,15.5,1.59,    ,    ,    ,    ,    
1580,新麥,櫃,12月12日,,146.5,-1,-0.68,271,39.7,147.5,147.5,148.5,145,2.37,13.7,2.65,    ,    ,    ,    ,    
1590,亞德客-KY,市,12月12日,,1005,-25,-2.43,531,539,1030,1030,1035,1005,2.91,30.4,4.83,    ,    ,    ,    ,    
1707,葡萄王,市,12月12日,,154,0,0,315,48.6,154,154,155,154,0.65,15.7,2.39,    ,    ,    ,    ,    
1723,中碳,市,12月12日,,116,0,0,225,26,116,116,116,115.5,0.43,18,3.42,    ,    ,    ,    ,    
1760,寶齡富錦,市,12月12日,,112.5,0,0,485,54.7,112.5,114,114,112.5,1.33,,5.11,    ,    ,    ,    ,    
1773,勝一,市,12月12日,,136.5,-0.5,-0.36,145,19.7,137,137,137.5,135,1.82,22.1,4.11,    ,    ,    ,    ,    
1788,杏昌,櫃,12月12日,,136.5,0,0,14,1.87,136.5,136.5,136.5,136,0.37,16.8,2.09,    ,    ,    ,    ,    
1795,美時,市,12月12日,,274,-0.5,-0.18,"4,983","1,374",274.5,278.5,280,273.5,2.37,18.5,4.32,    ,    ,    ,    ,    
2049,上銀,市,12月12日,,220.5,-4,-1.78,864,192,224.5,226.5,226.5,220,2.9,36.1,2.25,    ,    ,    ,    ,    
2059,川湖,市,12月12日,,863,-17,-1.93,"1,678","1,475",880,893,905,863,4.77,29.2,5.17,    ,    ,    ,    ,    
2114,鑫永銓,市,12月12日,,106,0,0,45,4.76,106,106,106,105,0.94,18,2.79,    ,    ,    ,    ,    
2204,中華,市,12月12日,,125,4,3.31,"16,815","2,091",121,120,127,119.5,6.2,54.6,2.02,    ,    ,    ,    ,    
2207,和泰車,市,12月12日,,704,-1,-0.14,270,191,705,711,721,699,3.12,42.2,6.27,    ,    ,    ,    ,    
2227,裕日車,市,12月12日,,188.5,0,0,4,0.69,188.5,188.5,188.5,188.5,0,42.1,3.11,    ,    ,    ,    ,    
2230,泰茂,櫃,12月12日,,156,3.5,2.3,"1,420",222,152.5,151.5,158.5,151.5,4.59,124,9.54,    ,    ,    ,    ,    
2231,為升,市,12月12日,,134,1,0.75,210,28.2,133,133.5,135,133,1.5,30,4.45,    ,    ,    ,    ,    
2233,宇隆,市,12月12日,,138,-5,-3.5,"1,192",166,143,143.5,143.5,137,4.55,16.9,2.38,    ,    ,    ,    ,    
2247,汎德永業,市,12月12日,,307.5,-2,-0.65,136,41.9,309.5,308.5,309,307,0.65,13.8,2,    ,    ,    ,    ,    
2301,光寶科,市,12月12日,,110,-0.5,-0.45,"7,419",824,110.5,112,112,110,1.81,16.8,3.03,    ,    ,    ,    ,    
2308,台達電,市,12月12日,,301,-9.5,-3.06,"10,906","3,310",310.5,307,309,300,2.9,24.2,3.96,    ,    ,    ,    ,    
2317,鴻海,市,12月12日,,101,0,0,"21,061","2,126",101,101,101.5,100.5,0.99,10.8,0.94,    ,    ,    ,    ,    
2327,國巨,市,12月12日,,619,5,0.81,"4,224","2,622",614,622,624,615,1.47,15.3,1.9,    ,    ,    ,    ,    
2330,台積電,市,12月12日,,578,4,0.7,"32,857","19,004",574,580,581,575,1.05,16.7,4.48,    ,    ,    ,    ,    
2345,智邦,市,12月12日,,526,-7,-1.31,"3,581","1,905",533,543,549,525,4.5,32.6,12.7,    ,    ,    ,    ,    
2351,順德,市,12月12日,,117,0,0,898,106,117,117,118,116.5,1.28,27.1,3.18,    ,    ,    ,    ,    
2357,華碩,市,12月12日,,393,-3.5,-0.88,"2,265",895,396.5,396,399,392,1.77,35.7,1.25,    ,    ,    ,    ,    
2360,致茂,市,12月12日,,194,-15.5,-7.4,"10,277","2,003",209.5,195.5,202,191.5,5.01,20.2,3.83,    ,    ,    ,    ,    
2364,倫飛,市,12月12日,,121.5,-4,-3.19,"2,007",250,125.5,127.5,129.5,120.5,7.17,37.2,6.86,    ,    ,    ,    ,    
2368,金像電,市,12月12日,,219.5,-1,-0.45,"9,712","2,140",220.5,223,224,217.5,2.95,31.8,7.05,    ,    ,    ,    ,    
2376,技嘉,市,12月12日,,250.5,-1,-0.4,"17,846","4,517",251.5,253.5,257,250.5,2.58,33.8,4.41,    ,    ,    ,    ,    
2377,微星,市,12月12日,,177,0,0,"5,445",964,177,177.5,179,175.5,1.98,20.4,3.01,    ,    ,    ,    ,    
2379,瑞昱,市,12月12日,,457,6,1.33,"2,736","1,248",451,455,459.5,452.5,1.55,25.7,5.52,    ,    ,    ,    ,    
2382,廣達,市,12月12日,,201,-3,-1.47,"21,583","4,384",204,205,206,201,2.45,20.2,4.27,    ,    ,    ,    ,    
2383,台光電,市,12月12日,,381,-10.5,-2.68,"3,845","1,480",391.5,393,396.5,380.5,4.09,26.1,5.23,    ,    ,    ,    ,    
2385,群光,市,12月12日,,169,-0.5,-0.29,"7,817","1,320",169.5,166.5,171,165.5,3.24,17.2,3.26,    ,    ,    ,    ,    
2388,威盛,市,12月12日,,163.5,2,1.24,"26,594","4,344",161.5,164,166,160.5,3.41,711,6.04,    ,    ,    ,    ,    
2395,研華,市,12月12日,,364.5,1,0.28,989,360,363.5,367,368,360.5,2.06,28.1,6.78,    ,    ,    ,    ,    
2404,漢唐,市,12月12日,,270,16,6.3,"4,930","1,309",254,257,270,256,5.51,10.8,4.42,    ,    ,    ,    ,    
2412,中華電,市,12月12日,,120,0,0,"3,692",442,120,120,120,119.5,0.42,25.2,2.49,    ,    ,    ,    ,    
2428,興勤,市,12月12日,,159.5,-0.5,-0.31,554,88.6,160,160.5,161,159,1.25,18.4,2.21,    ,    ,    ,    ,    
2439,美律,市,12月12日,,118.5,2.5,2.16,"5,860",693,116,116,119.5,116,3.02,21,2.11,    ,    ,    ,    ,    
2454,聯發科,市,12月12日,,939,-2,-0.21,"4,720","4,443",941,950,950,935,1.59,21.3,3.81,    ,    ,    ,    ,    
2455,全新,市,12月12日,,162.5,-2,-1.22,"1,442",238,164.5,165.5,168,162.5,3.34,100,10.3,    ,    ,    ,    ,    
2458,義隆,市,12月12日,,158.5,1.5,0.96,"3,678",581,157,158.5,159,156.5,1.59,27.9,5.56,    ,    ,    ,    ,    
2474,可成,市,12月12日,,185,0,0,"1,862",345,185,187,187,184,1.62,12.6,0.77,    ,    ,    ,    ,    
2480,敦陽科,市,12月12日,,121,0,0,299,36.1,121,121.5,121.5,120,1.24,16.4,4.18,    ,    ,    ,    ,    
2492,華新科,市,12月12日,,132,-2.5,-1.86,"3,954",527,134.5,136,136.5,131.5,3.72,37.8,1.35,    ,    ,    ,    ,    
2597,潤弘,市,12月12日,,112,-1,-0.88,67,7.56,113,113,113,112,0.88,11.8,3.81,    ,    ,    ,    ,    
2603,長榮,市,12月12日,,129,7,5.74,"64,869","8,235",122,122,130.5,121.5,7.38,4.41,0.6,    ,    ,    ,    ,    
2640,大車隊,櫃,12月12日,,110.5,0.5,0.45,33,3.68,110,111,111.5,110.5,0.91,16.9,3.67,    ,    ,    ,    ,    
2645,長榮航太,市,12月12日,,107.5,0.5,0.47,672,72.4,107,107.5,109,107,1.87,23.2,3.15,    ,    ,    ,    ,    
2707,晶華,市,12月12日,,219,-2,-0.9,171,37.5,221,221,222,218.5,1.58,21.5,6.56,    ,    ,    ,    ,    
2727,王品,市,12月12日,,238,-2.5,-1.04,845,202,240.5,241,241.5,237.5,1.66,14.9,4.72,    ,    ,    ,    ,    
2729,瓦城,櫃,12月12日,,231,-3,-1.28,100,23.1,234,232.5,233.5,230.5,1.28,19.8,3.27,    ,    ,    ,    ,    
2731,雄獅,市,12月12日,,142,-1,-0.7,"1,061",151,143,144,144.5,141,2.45,27.6,4.47,    ,    ,    ,    ,    
2732,六角,櫃,12月12日,,116,-1,-0.85,228,26.5,117,118,118,115.5,2.14,15.5,2.88,    ,    ,    ,    ,    
2743,山富,櫃,12月12日,,126.5,-4.5,-3.44,"1,030",132,131,131,132,126.5,4.2,17.9,5.69,    ,    ,    ,    ,    
2752,豆府,櫃,12月12日,,280,0,0,0,0.02,280,280,280,280,0,17.8,6.65,    ,    ,    ,    ,    
2753,八方雲集,市,12月12日,,173,0.5,0.29,344,59.6,172.5,174,174,172,1.16,19.5,3.5,    ,    ,    ,    ,    
2754,亞洲藏壽司,櫃,12月12日,,116.5,-2.5,-2.1,185,21.8,119,119.5,119.5,116.5,2.52,21,3.33,    ,    ,    ,    ,    
2755,揚秦,櫃,12月12日,,116.5,-2.5,-2.1,50,5.83,119,119,119,116.5,2.1,29.6,4.87,    ,    ,    ,    ,    
2912,統一超,市,12月12日,,268.5,0,0,455,122,268.5,269,269,267.5,0.56,26.9,7.58,    ,    ,    ,    ,    
